k = 5605, p# = 1382.000000, sp# = 11209.000000, ratio = 0.123294
k = 5625, p# = 1385.000000, sp# = 11249.000000, ratio = 0.123122
k = 5645, p# = 1389.000000, sp# = 11289.000000, ratio = 0.123040
k = 5665, p# = 1393.000000, sp# = 11329.000000, ratio = 0.122959
k = 5685, p# = 1394.000000, sp# = 11369.000000, ratio = 0.122614
k = 5705, p# = 1398.000000, sp# = 11409.000000, ratio = 0.122535
k = 5725, p# = 1402.000000, sp# = 11449.000000, ratio = 0.122456
k = 5745, p# = 1406.000000, sp# = 11489.000000, ratio = 0.122378
k = 5765, p# = 1412.000000, sp# = 11529.000000, ratio = 0.122474
k = 5785, p# = 1417.000000, sp# = 11569.000000, ratio = 0.122482
k = 5805, p# = 1420.000000, sp# = 11609.000000, ratio = 0.122319
k = 5825, p# = 1424.000000, sp# = 11649.000000, ratio = 0.122242
k = 5845, p# = 1428.000000, sp# = 11689.000000, ratio = 0.122166
k = 5865, p# = 1431.000000, sp# = 11729.000000, ratio = 0.122005
k = 5885, p# = 1439.000000, sp# = 11769.000000, ratio = 0.122270
k = 5905, p# = 1440.000000, sp# = 11809.000000, ratio = 0.121941
k = 5925, p# = 1443.000000, sp# = 11849.000000, ratio = 0.121782
k = 5945, p# = 1447.000000, sp# = 11889.000000, ratio = 0.121709
k = 5965, p# = 1450.000000, sp# = 11929.000000, ratio = 0.121553
k = 5985, p# = 1455.000000, sp# = 11969.000000, ratio = 0.121564
k = 6005, p# = 1458.000000, sp# = 12009.000000, ratio = 0.121409
k = 6025, p# = 1466.000000, sp# = 12049.000000, ratio = 0.121670
k = 6045, p# = 1469.000000, sp# = 12089.000000, ratio = 0.121515
k = 6065, p# = 1474.000000, sp# = 12129.000000, ratio = 0.121527
k = 6085, p# = 1476.000000, sp# = 12169.000000, ratio = 0.121292
k = 6105, p# = 1481.000000, sp# = 12209.000000, ratio = 0.121304
k = 6125, p# = 1487.000000, sp# = 12249.000000, ratio = 0.121398
k = 6145, p# = 1493.000000, sp# = 12289.000000, ratio = 0.121491
k = 6165, p# = 1496.000000, sp# = 12329.000000, ratio = 0.121340
k = 6185, p# = 1501.000000, sp# = 12369.000000, ratio = 0.121352
k = 6205, p# = 1503.000000, sp# = 12409.000000, ratio = 0.121122
k = 6225, p# = 1509.000000, sp# = 12449.000000, ratio = 0.121215
k = 6245, p# = 1514.000000, sp# = 12489.000000, ratio = 0.121227
k = 6265, p# = 1516.000000, sp# = 12529.000000, ratio = 0.120999
k = 6285, p# = 1518.000000, sp# = 12569.000000, ratio = 0.120773
k = 6305, p# = 1520.000000, sp# = 12609.000000, ratio = 0.120549
k = 6325, p# = 1525.000000, sp# = 12649.000000, ratio = 0.120563
k = 6345, p# = 1528.000000, sp# = 12689.000000, ratio = 0.120419
k = 6365, p# = 1534.000000, sp# = 12729.000000, ratio = 0.120512
k = 6385, p# = 1539.000000, sp# = 12769.000000, ratio = 0.120526
k = 6405, p# = 1542.000000, sp# = 12809.000000, ratio = 0.120384
k = 6425, p# = 1546.000000, sp# = 12849.000000, ratio = 0.120321
k = 6445, p# = 1551.000000, sp# = 12889.000000, ratio = 0.120335
k = 6465, p# = 1558.000000, sp# = 12929.000000, ratio = 0.120504
k = 6485, p# = 1560.000000, sp# = 12969.000000, ratio = 0.120287
k = 6505, p# = 1563.000000, sp# = 13009.000000, ratio = 0.120148
k = 6525, p# = 1565.000000, sp# = 13049.000000, ratio = 0.119933
k = 6545, p# = 1570.000000, sp# = 13089.000000, ratio = 0.119948
k = 6565, p# = 1574.000000, sp# = 13129.000000, ratio = 0.119887
k = 6585, p# = 1580.000000, sp# = 13169.000000, ratio = 0.119979
k = 6605, p# = 1586.000000, sp# = 13209.000000, ratio = 0.120070
k = 6625, p# = 1588.000000, sp# = 13249.000000, ratio = 0.119858
k = 6645, p# = 1593.000000, sp# = 13289.000000, ratio = 0.119874
k = 6665, p# = 1595.000000, sp# = 13329.000000, ratio = 0.119664
k = 6685, p# = 1597.000000, sp# = 13369.000000, ratio = 0.119455
k = 6705, p# = 1600.000000, sp# = 13409.000000, ratio = 0.119323
k = 6725, p# = 1605.000000, sp# = 13449.000000, ratio = 0.119340
k = 6745, p# = 1609.000000, sp# = 13489.000000, ratio = 0.119282
k = 6765, p# = 1612.000000, sp# = 13529.000000, ratio = 0.119151
k = 6785, p# = 1617.000000, sp# = 13569.000000, ratio = 0.119169
k = 6805, p# = 1622.000000, sp# = 13609.000000, ratio = 0.119186
k = 6825, p# = 1628.000000, sp# = 13649.000000, ratio = 0.119276
k = 6845, p# = 1632.000000, sp# = 13689.000000, ratio = 0.119220
k = 6865, p# = 1634.000000, sp# = 13729.000000, ratio = 0.119018
k = 6885, p# = 1640.000000, sp# = 13769.000000, ratio = 0.119108
k = 6905, p# = 1641.000000, sp# = 13809.000000, ratio = 0.118836
k = 6925, p# = 1648.000000, sp# = 13849.000000, ratio = 0.118998
k = 6945, p# = 1652.000000, sp# = 13889.000000, ratio = 0.118943
k = 6965, p# = 1656.000000, sp# = 13929.000000, ratio = 0.118889
k = 6985, p# = 1660.000000, sp# = 13969.000000, ratio = 0.118835
k = 7005, p# = 1665.000000, sp# = 14009.000000, ratio = 0.118852
k = 7025, p# = 1670.000000, sp# = 14049.000000, ratio = 0.118870
k = 7045, p# = 1673.000000, sp# = 14089.000000, ratio = 0.118745
k = 7065, p# = 1676.000000, sp# = 14129.000000, ratio = 0.118621
k = 7085, p# = 1679.000000, sp# = 14169.000000, ratio = 0.118498
k = 7105, p# = 1681.000000, sp# = 14209.000000, ratio = 0.118305
k = 7125, p# = 1688.000000, sp# = 14249.000000, ratio = 0.118464
k = 7145, p# = 1690.000000, sp# = 14289.000000, ratio = 0.118273
k = 7165, p# = 1697.000000, sp# = 14329.000000, ratio = 0.118431
k = 7185, p# = 1699.000000, sp# = 14369.000000, ratio = 0.118241
k = 7205, p# = 1704.000000, sp# = 14409.000000, ratio = 0.118259
k = 7225, p# = 1707.000000, sp# = 14449.000000, ratio = 0.118140
